Dataset,Classifier,Score_with_FP
ada,LR,0.8608433734939759
ada,XGB,0.8653614457831326
ada,MLP,0.871987951807229
austrilian,LR,0.8738738738738738
austrilian,XGB,0.8873873873873874
austrilian,MLP,0.8738738738738738
blood,LR,0.7833333333333333
blood,XGB,0.7625
blood,MLP,0.775
christine,LR,0.7303344867358709
christine,XGB,0.7494809688581314
christine,MLP,0.7144175317185698
Click_prediction_small,LR,0.8333854818523154
Click_prediction_small,XGB,0.8350125156445557
Click_prediction_small,MLP,0.8351063829787234
credit,LR,0.8110416666666668
credit,XGB,0.8137083333333333
credit,MLP,0.8189583333333333
EEG,LR,0.6501460158531498
EEG,XGB,0.9339173967459324
EEG,MLP,0.924822695035461
electricity,LR,0.7551172413793104
electricity,XGB,0.9082758620689655
electricity,MLP,0.8187586206896553
emotion,LR,0.8857142857142858
emotion,XGB,0.9111111111111111
emotion,MLP,0.9015873015873016
fibert,LR,0.6790591805766313
fibert,XGB,0.6851289833080425
fibert,MLP,0.6555386949924128
forex,LR,0.6737592698231603
forex,XGB,0.6800627495721618
forex,MLP,0.6555333713633771
gesture,LR,0.4777215189873417
gesture,XGB,0.6417721518987342
gesture,MLP,0.5570886075949366
heart,LR,0.8408163265306122
heart,XGB,0.8489795918367348
heart,MLP,0.8530612244897959
helena,LR,0.3261311349693251
helena,XGB,0.3282592024539877
helena,MLP,0.3669478527607362
higgs,LR,0.6458184599694033
higgs,XGB,0.717790668026517
higgs,MLP,0.7131140574536801
house_data,LR,0.6564488143435512
house_data,XGB,0.7222672064777328
house_data,MLP,0.6852515905147484
jannis,LR,0.6517539931333035
jannis,XGB,0.7144349902970593
jannis,MLP,0.7067323481116585
jasmine,LR,0.800418410041841
jasmine,XGB,0.8292887029288704
jasmine,MLP,0.8112970711297072
kc1,LR,0.8443786982248522
kc1,XGB,0.8650887573964496
kc1,MLP,0.8662721893491124
madeline,LR,0.605168986083499
madeline,XGB,0.8477137176938371
madeline,MLP,0.6755467196819086
numerai28.6,LR,0.5209447184012458
numerai28.6,XGB,0.5153646509213601
numerai28.6,MLP,0.5188943680249156
pd_speech_features,LR,0.9371900826446282
pd_speech_features,XGB,0.9438016528925621
pd_speech_features,MLP,0.9619834710743802
philippine,LR,0.7429796355841372
philippine,XGB,0.7729903536977492
philippine,MLP,0.7361200428724544
phoneme,LR,0.7926011560693642
phoneme,XGB,0.901271676300578
phoneme,MLP,0.8716763005780347
thyroid-allhyper,LR,0.7348214285714285
thyroid-allhyper,XGB,0.7165178571428571
thyroid-allhyper,MLP,0.7446428571428572
vehicle,LR,0.7683823529411764
vehicle,XGB,0.8198529411764706
vehicle,MLP,0.7867647058823529
volkert,LR,0.589871382636656
volkert,XGB,0.6863879957127546
volkert,MLP,0.6613076098606645
wine_quality,LR,0.55625
wine_quality,XGB,0.6504807692307693
wine_quality,MLP,0.5894230769230769
analcatdata_authorship,LR,1.0
analcatdata_authorship,XGB,0.9925925925925926
analcatdata_authorship,MLP,1.0
gas-drift,LR,0.9926325247079963
gas-drift,XGB,0.9943396226415094
gas-drift,MLP,0.9947888589398023
har,LR,0.9817961165048544
har,XGB,0.9839805825242719
har,MLP,0.9836165048543689
hill,LR,1.0
hill,XGB,1.0
hill,MLP,1.0
ionosphere,LR,0.9464285714285714
ionosphere,XGB,0.9535714285714286
ionosphere,MLP,0.9571428571428571
isolet,LR,1.0
isolet,XGB,1.0
isolet,MLP,1.0
mobile_price,LR,0.965625
mobile_price,XGB,0.93125
mobile_price,MLP,0.9243749999999998
mozilla4,LR,0.9377009646302252
mozilla4,XGB,0.9565916398713826
mozilla4,MLP,0.9377009646302252
nasa,LR,0.9781333333333333
nasa,XGB,0.9933333333333334
nasa,MLP,0.9906666666666666
page,LR,0.9762557077625571
page,XGB,0.978310502283105
page,MLP,0.9757990867579908
robot,LR,0.8618556701030927
robot,XGB,0.9988545246277205
robot,MLP,0.9621993127147765
run_or_walk,LR,0.8342740228587555
run_or_walk,XGB,0.9899675462113728
run_or_walk,MLP,0.985424015803584
spambase,LR,0.9388586956521741
spambase,XGB,0.9597826086956521
spambase,MLP,0.9605978260869567
sylvine,LR,0.9319512195121952
sylvine,XGB,0.9536585365853657
sylvine,MLP,0.9358536585365854
wall-robot,LR,0.8705612829324171
wall-robot,XGB,0.9988545246277205
wall-robot,MLP,0.9592210767468499
wilt,LR,0.9904516129032258
wilt,XGB,0.9935483870967742
wilt,MLP,0.9935483870967742
covtype,LR,0.6052024841691588
covtype,XGB,0.8776898087390546
covtype,MLP,0.8715066371205439
BNG_australian,LR,nan
BNG_australian,XGB,nan
BNG_australian,MLP,nan
